SSTATES/UTS 2003 2004 2005 2006 2007 2008 2009 2010 2011
ANDHRA-PRADESH 34826 38940 37131 43559 44325 42657 43600 44599 44165 
ARUNACHAL-PRADESH 245 241 231 250 240 280 306 293 263
ASSAM 3262 3688 4258 4694 4403 4683 4869 5828 6569
BIHAR 6141 4027 3768 5594 7774 8991 10065 11033 10673
CHHATTISGARH 10521 10600 11164 11934 12296 12945 12888 13664 14108  
GOA 3244 3525 3577 3707 4020 4178 4165 4572 4560
GUJARAT 30604 30630 30515 31547 33623 33671 31034 30114 30205
HARYANA 8690 9321 9298 10314 11998 11596 11915 11195 11128
HIMACHAL-PRADESH 2680 2808 2797 2727 2955 2756 3051 3069 3099  
JAMMU-&-KASHMIR 5904 6257 5664 5593 5864 5326 5945 6134 6655  
JHARKHAND 4211 4614 5013 4980 5285 4985 4996 5521 5451  
KARNATAKA 37658 38869 40330 43411 46363 46279 45190 46250 44731  
KERALA 39496 41219 42295 41728 39917 37263 35433 35082 35216  
MADHYA-PRADESH 30164 32445 35123 38041 41981 43852 47267 50023 49406  
MAHARASHTRA 65686 67720 72408 75413 73661 75527 71996 71289 68438  
MANIPUR 523 468 600 521 538 573 578 602 692 
MEGHALAYA 617 433 428 435 300 294 398 474 599 
MIZORAM 122 83 96 95 77 110 86 125 97 
NAGALAND 101 140 226 194 239 76 63 35 39 
ODISHA 6668 7278 7593 7729 8213 8181 8887 9413 9398  
PUNJAB 4429 4346 4599 4927 5208 5115 5570 5507 6513  
RAJASTHAN 21933 23243 23115 23348 23885 23704 25114 24302 23245  
SIKKIM 131 159 189 188 150 196 564 186 406 
TAMIL-NADU 51025 52508 53866 55145 59140 60409 60794 64996 65873  
TRIPURA 676 645 657 793 801 767 865 901 834
UTTARAKHAND 1222 1252 1332 1461 1529 1417 1401 1493 1508
UTTAR-PRADESH 14286 18493 18325 19489 21522 25684 28155 28362 29285
WEST-BENGAL 10444 14431 12597 11324 11660 12206 11134 14888 14945 
ANDAMAN-ISLANDS 180 215 205 154 173 191 271 285 234
CHANDIGARH 442 417 530 517 534 482 424 456 437
DADRA-&-NAGAR-HAVELI 73 111 127 103 116 116 79 96 103 
DAMAN-&-DIU 72 61 62 57 60 50 63 48 50 
DELHI 8863 9087 9351 9299 8620 8435 7516 7260 7281  
LAKSHADWEEP 1 3 5 10 2 12 4 4 0
PUDUCHERRY 1586 1633 1780 1639 1744 1697 1698 1529 1480  


 
